N,종목명,현재가,전일비,등락률,액면가,매수호가
1.0,삼성전자,61700.0,"상승  1,500",+2.49%,100.0,61600.0
2.0,SK하이닉스,215500.0,"상승  5,500",+2.62%,5000.0,215000.0
3.0,삼성바이오로직스,1095000.0,"상승  23,000",+2.15%,2500.0,1094000.0
4.0,LG에너지솔루션,329000.0,"하락  5,500",-1.64%,500.0,329000.0
5.0,현대차,205000.0,"상승  2,500",+1.23%,5000.0,204500.0
6.0,삼성전자우,50700.0,상승  700,+1.40%,100.0,50600.0
7.0,셀트리온,186700.0,상승  400,+0.21%,1000.0,186400.0
8.0,기아,95700.0,하락  300,-0.31%,5000.0,95700.0
9.0,NAVER,209500.0,"상승  1,500",+0.72%,100.0,209000.0
10.0,KB금융,81300.0,"하락  1,000",-1.22%,5000.0,81300.0
11.0,한화에어로스페이스,628000.0,"하락  94,000",-13.02%,5000.0,628000.0
12.0,POSCO홀딩스,326000.0,"하락  6,000",-1.81%,5000.0,325500.0
13.0,HD현대중공업,299500.0,하락  500,-0.17%,5000.0,299000.0
14.0,현대모비스,266500.0,"하락  4,000",-1.48%,5000.0,266500.0
15.0,신한지주,47800.0,상승  250,+0.53%,5000.0,47800.0
16.0,한화오션,73100.0,"하락  1,700",-2.27%,5000.0,73100.0
17.0,메리츠금융지주,117400.0,"하락  2,800",-2.33%,500.0,117400.0
18.0,삼성물산,124900.0,상승  800,+0.64%,100.0,124900.0
19.0,카카오,43600.0,상승  950,+2.23%,100.0,43500.0
20.0,SK이노베이션,123400.0,"하락  1,800",-1.44%,5000.0,123400.0
21.0,삼성화재,390500.0,"하락  6,500",-1.64%,500.0,390500.0
22.0,LG화학,261500.0,"상승  4,500",+1.75%,5000.0,261000.0
23.0,하나금융지주,62200.0,보합0,0.00%,5000.0,62200.0
24.0,고려아연,848000.0,"상승  1,000",+0.12%,5000.0,848000.0
25.0,HMM,19840.0,하락  210,-1.05%,5000.0,19830.0
26.0,두산에너빌리티,27000.0,"상승  1,500",+5.88%,5000.0,26950.0
27.0,삼성생명,86200.0,상승  500,+0.58%,500.0,86100.0
28.0,크래프톤,325000.0,"하락  3,500",-1.07%,100.0,325000.0
29.0,HD한국조선해양,213500.0,"상승  4,000",+1.91%,5000.0,213000.0
30.0,한국전력,22100.0,상승  100,+0.45%,5000.0,22100.0
31.0,삼성SDI,200500.0,"하락  2,000",-0.99%,5000.0,200000.0
32.0,LG전자,83400.0,상승  600,+0.72%,5000.0,83300.0
33.0,SK스퀘어,101200.0,"상승  2,300",+2.33%,100.0,101200.0
34.0,삼성중공업,14580.0,상승  40,+0.28%,1000.0,14570.0
35.0,KT,49750.0,하락  950,-1.87%,5000.0,49700.0
36.0,기업은행,15710.0,하락  70,-0.44%,5000.0,15710.0
37.0,우리금융지주,16790.0,상승  60,+0.36%,5000.0,16780.0
38.0,KT&G,100600.0,"하락  1,500",-1.47%,5000.0,100600.0
39.0,현대로템,111500.0,"상승  3,000",+2.76%,5000.0,111500.0
40.0,SK텔레콤,56300.0,보합0,0.00%,100.0,56300.0
41.0,HD현대일렉트릭,329500.0,"하락  21,000",-5.99%,5000.0,329500.0
42.0,LG,69700.0,하락  300,-0.43%,5000.0,69600.0
43.0,카카오뱅크,22950.0,하락  100,-0.43%,5000.0,22900.0
44.0,포스코퓨처엠,137700.0,"하락  5,800",-4.04%,500.0,137700.0
45.0,포스코인터내셔널,59000.0,"상승  3,200",+5.73%,5000.0,59000.0
46.0,삼성전기,138500.0,"하락  1,000",-0.72%,5000.0,138500.0
47.0,SK,138900.0,상승  300,+0.22%,200.0,138900.0
48.0,유한양행,121200.0,"하락  9,900",-7.55%,1000.0,121100.0
49.0,하이브,232000.0,"상승  3,000",+1.31%,500.0,231500.0
50.0,삼성에스디에스,121200.0,"하락  1,300",-1.06%,500.0,121200.0
51.0,현대글로비스,124600.0,"상승  3,900",+3.23%,500.0,124500.0
52.0,KODEX CD금리액티브(합성),1065570.0,상승  85,+0.01%,0.0,1065565.0
53.0,한미반도체,90300.0,하락  100,-0.11%,100.0,90300.0
54.0,한국항공우주,84700.0,"하락  1,200",-1.40%,5000.0,84600.0
55.0,대한항공,22400.0,보합0,0.00%,5000.0,22350.0
56.0,SK바이오팜,104500.0,상승  600,+0.58%,500.0,104400.0
